	OKUL NO	    Final
1	1112705029	50
2	1112706006	37
3	1212705015	12
4	1312705031	42
5	1312705032	42
6	1312705043	42
7	1412705001	
8	1412705012	23
9	1412705013	25
10	1412705020	13
11	1412705029	54
12	1412705031	55
13	1412705046	37
14	1412705051	15
15	1412705053	31
16	1412706001	24
17	1412706002	9
18	1412706003	47
19	1412706006	85
20	1412706007	77
21	1412706011	34
22	1412706016	
23	1412706019	32
24	1412706020	30
25	1512705006	29
26	1512705016	57
27	1512705022	47
28	1512705024	35
29	1512705032	65
30	1512705034	29
31	1512705035	
32	1512705045	36
