Ödev 3:     
1412705029	0  
1412706001	5  
1412706007	7  
1412706011	0  
1412706019	7  
1512705016	7  
1512705022	0  
1512705024	7  
1512705035	4  
1512705045	0  
1322705027	0   
1522705007	0  
1522705041	0  
1522705031	0  
 


Ödev 4:  
1412705012	8  
1412706006	6  
1412706007	8  
1412706011	0  
1412706019	8  
1412706020	5  
1512705006	5  
1512705016	8  
1512705022	0  
1512705024	0  
1512705032	6  
1422705003	4  
1422706013	0  
1522705007	0  
1522705025	0  
1522705041	7  
1522705317	7  
1412705051	5  
 


Ödev 5:  
1412705012	10   
1412705029	2   
1412706003	0   
1412706007	10   
1412706011	10   
1412706019	8   
1412706020	3  
1512705006	4  
1512705016	10  
1512705022	10  
1512705024	10  
1512705032	8  
1322705027	6  
1422705003	3  
1522705041	3  
1522705317	10  
1412705051	6  
